Time(s)	SetTemp(K)	Temp(K)	HeatPower	P	I	D
0	120	89.5296	0	67.3	48.5	100
1.149065	120	89.2746	0	67.3	48.5	100
2.239514	120	89.2451	0	67.3	48.5	100
3.360226	120	89.213	0	67.3	48.5	100
4.439961	120	89.0118	0	67.3	48.5	100
5.510239	120	89.0923	0	67.3	48.5	100
6.570736	120	88.9053	0	67.3	48.5	100
7.670274	120	88.8459	0	67.3	48.5	100
8.790291	120	88.84	0	67.3	48.5	100
9.871146	120	88.7962	0	67.3	48.5	100
10.951331	120	88.7372	0	67.3	48.5	100
12.041917	88.5625	88.5625	0	67.3	48.5	100
13.211575	120	88.507	0	67.3	48.5	100
14.281761	120	88.3538	0	67.3	48.5	100
15.372286	120	88.2934	0	67.3	48.5	100
16.451971	120	88.1806	0	67.3	48.5	100
17.532873	120	88.0875	0	67.3	48.5	100
18.59275	120	87.8741	0	67.3	48.5	100
19.732548	120	87.8114	0	67.3	48.5	100
20.823076	120	87.7789	0	67.3	48.5	100
21.922998	120	87.7889	0	67.3	48.5	100
23.033197	120	87.648	0	67.3	48.5	100
24.114198	120	87.4451	0	67.3	48.5	100
25.184063	120	87.3388	0	67.3	48.5	100
26.263964	120	87.3098	0	67.3	48.5	100
27.344064	120	87.1408	0	67.3	48.5	100
28.424989	120	87.0283	0	67.3	48.5	100
29.494644	120	87.0539	0	67.3	48.5	100
30.574493	120	86.7193	0	67.3	48.5	100
31.685489	120	86.7858	0	67.3	48.5	100
32.815092	120	86.7844	0	67.3	48.5	100
33.885541	120	86.6388	0	67.3	48.5	100
34.966412	120	86.6098	0	67.3	48.5	100
36.046416	120	86.5211	0	67.3	48.5	100
37.126151	120	86.4491	0	67.3	48.5	100
38.19638	120	86.2141	0	67.3	48.5	100
39.276093	120	86.1901	0	67.3	48.5	100
40.337174	120	85.9823	0	67.3	48.5	100
41.416583	120	86.0536	0	67.3	48.5	100
42.486777	120	85.8483	0	67.3	48.5	100
43.547885	120	85.7746	0	67.3	48.5	100
44.638285	120	85.7175	0	67.3	48.5	100
45.748437	120	85.5604	0	67.3	48.5	100
46.828219	120	85.5422	0	67.3	48.5	100
47.908267	120	85.4617	0	67.3	48.5	100
48.988836	120	85.2537	0	67.3	48.5	100
50.048779	120	85.1929	0	67.3	48.5	100
51.118786	120	84.9017	0	67.3	48.5	100
52.208914	120	84.8952	0	67.3	48.5	100
53.319252	120	84.8641	0	67.3	48.5	100
54.390254	120	84.6854	0	67.3	48.5	100
55.449459	120	84.8599	0	67.3	48.5	100
56.520607	120	84.6721	0	67.3	48.5	100
57.579618	120	84.5548	0	67.3	48.5	100
58.689973	120	84.5267	0	67.3	48.5	100
59.810961	120	84.2352	0	67.3	48.5	100
60.890581	120	84.213	0	67.3	48.5	100
61.981612	120	84.272	0	67.3	48.5	100
63.090991	120	84.167	0	67.3	48.5	100
64.171871	120	83.9306	0	67.3	48.5	100
65.251441	120	83.9569	0	67.3	48.5	100
66.322171	120	83.883	0	67.3	48.5	100
67.411613	120	83.718	83.718	67.3	48.5	100
68.491851	120	83.6059	0	67.3	48.5	100
69.572561	120	83.622	0	67.3	48.5	100
70.672788	120	83.5567	0	67.3	48.5	100
71.823233	120	83.3383	0	67.3	48.5	100
72.933606	120	83.2929	0	67.3	48.5	100
74.013058	120	83.1951	0	67.3	48.5	100
75.083061	120	83.1214	0	67.3	48.5	100
76.163412	120	83.0884	0	67.3	48.5	100
77.243891	120	82.8935	0	67.3	48.5	100
78.313897	120	82.8697	0	67.3	48.5	100
79.394353	120	82.8165	0	67.3	48.5	100
80.464859	120	82.7145	0	67.3	48.5	100
81.544864	120	82.581	0	67.3	48.5	100
82.635508	120	82.5174	0	67.3	48.5	100
83.755563	120	82.4632	0	67.3	48.5	100
84.825569	120	82.3672	0	67.3	48.5	100
85.886056	120	82.2459	0	67.3	48.5	100
86.965299	120	82.1347	0	67.3	48.5	100
88.046302	120	82.0609	0	67.3	48.5	100
89.125789	120	81.9357	0	67.3	48.5	100
90.196432	120	82.1611	0	67.3	48.5	100
91.276674	120	82.0938	0	67.3	48.5	100
92.356473	120	81.9822	0	67.3	48.5	100
93.427439	120	81.6162	0	67.3	48.5	100
94.497425	120	81.6554	0	67.3	48.5	100
95.577685	120	81.8032	0	67.3	48.5	100
96.697853	120	81.6182	0	67.3	48.5	100
97.827849	120	81.3357	0	67.3	48.5	100
98.898577	120	81.4735	0	67.3	48.5	100
99.978314	120	81.4454	0	67.3	48.5	100
101.058996	120	81.4126	0	67.3	48.5	100
102.148788	120	81.2233	0	67.3	48.5	100
103.26909	120	81.0112	0	67.3	48.5	100
104.349127	120	81.0158	0	67.3	48.5	100
105.418971	120	80.9933	0	67.3	48.5	100
106.489976	120	80.9601	0	67.3	48.5	100
107.569267	120	80.8994	0	67.3	48.5	100
108.670453	120	80.7994	0	67.3	48.5	100
109.800457	120	80.5588	0	67.3	48.5	100
110.880792	120	80.5507	0	67.3	48.5	100
111.970391	120	80.6604	0	67.3	48.5	100
113.08062	120	80.5743	0	67.3	48.5	100
114.150678	120	80.4975	0	67.3	48.5	100
115.220956	120	80.3879	0	67.3	48.5	100
116.291806	120	80.3453	0	67.3	48.5	100
117.372305	120	80.2813	0	67.3	48.5	100
118.451763	120	80.3387	0	67.3	48.5	100
119.532132	120	80.1917	0	67.3	48.5	100
120.602591	120	79.9845	0	67.3	48.5	100
121.752692	120	80.0622	0	67.3	48.5	100
122.87295	120	79.9569	0	67.3	48.5	100
123.942808	120	79.9237	0	67.3	48.5	100
125.022983	120	79.875	0	67.3	48.5	100
126.092984	120	79.8578	0	67.3	48.5	100
127.173306	120	79.7896	0	67.3	48.5	100
128.253393	120	79.7504	0	67.3	48.5	100
129.324393	120	79.7083	0	67.3	48.5	100
130.40445	120	79.6202	0	67.3	48.5	100
131.474298	120	79.5913	0	67.3	48.5	100
132.554304	120	79.4954	0	67.3	48.5	100
133.64504	120	79.4805	0	67.3	48.5	100
134.754665	120	79.4708	0	67.3	48.5	100
135.834903	120	79.4561	0	67.3	48.5	100
136.895515	120	79.3805	0	67.3	48.5	100
137.965317	120	79.3197	0	67.3	48.5	100
139.025988	120	79.3099	0	67.3	48.5	100
140.095684	120	79.2673	0	67.3	48.5	100
141.166055	120	79.2127	0	67.3	48.5	100
142.256853	120	79.1535	0	67.3	48.5	100
143.336197	120	79.1399	0	67.3	48.5	100
144.417196	120	79.1233	0	67.3	48.5	100
145.487085	120	79.0837	0	67.3	48.5	100
146.567606	120	79.0592	0	67.3	48.5	100
147.677608	120	78.99	0	67.3	48.5	100
148.787781	120	78.9589	0	67.3	48.5	100
149.868102	120	78.9134	0	67.3	48.5	100
150.948105	120	78.8676	0	67.3	48.5	100
152.038559	120	78.8777	0	67.3	48.5	100
153.148113	120	78.8232	0	67.3	48.5	100
154.229117	120	78.7967	0	67.3	48.5	100
155.298843	120	78.776	0	67.3	48.5	100
156.379434	120	78.762	0	67.3	48.5	100
157.459439	120	78.6736	0	67.3	48.5	100
158.530107	120	78.6095	0	67.3	48.5	100
159.630188	120	78.5817	0	67.3	48.5	100
160.749691	120	78.5404	0	67.3	48.5	100
161.840229	120	78.5255	0	67.3	48.5	100
162.950215	120	78.4789	0	67.3	48.5	100
164.021217	120	78.4202	0	67.3	48.5	100
165.081305	120	78.3691	0	67.3	48.5	100
166.160902	120	78.328	0	67.3	48.5	100
167.231543	120	78.339	0	67.3	48.5	100
168.29217	120	78.3331	0	67.3	48.5	100
169.37155	120	78.2854	0	67.3	48.5	100
170.45207	120	78.2516	0	67.3	48.5	100
171.532677	120	78.2315	0	67.3	48.5	100
172.602119	120	78.1994	0	67.3	48.5	100
173.75223	120	78.1935	0	67.3	48.5	100
174.833232	120	78.1872	0	67.3	48.5	100
175.903245	120	78.1692	0	67.3	48.5	100
176.983119	120	78.1347	0	67.3	48.5	100
178.063126	120	78.112	0	67.3	48.5	100
179.133344	120	78.0914	0	67.3	48.5	100
180.203653	120	78.0757	0	67.3	48.5	100
181.283652	120	78.0581	0	67.3	48.5	100
182.364092	120	78.0348	0	67.3	48.5	100
183.434903	120	78.0148	0	67.3	48.5	100
184.504907	120	77.9937	0	67.3	48.5	100
185.585016	120	77.9724	0	67.3	48.5	100
186.725155	120	77.9567	0	67.3	48.5	100
187.83516	120	77.9438	0	67.3	48.5	100
188.905279	120	77.9224	0	67.3	48.5	100
189.98614	120	77.8979	0	67.3	48.5	100
191.066146	120	77.8842	0	67.3	48.5	100
192.156466	120	77.8617	0	67.3	48.5	100
193.276484	120	77.8381	0	67.3	48.5	100
194.356376	120	77.8215	0	67.3	48.5	100
195.436954	120	77.8033	0	67.3	48.5	100
196.496725	120	77.7809	0	67.3	48.5	100
197.577491	120	77.7615	0	67.3	48.5	100
198.687014	120	77.7437	0	67.3	48.5	100
199.827989	120	77.7283	0	67.3	48.5	100
200.897446	120	77.7098	0	67.3	48.5	100
201.988465	120	77.6927	0	67.3	48.5	100
203.09847	120	77.6743	0	67.3	48.5	100
204.178316	120	77.6606	0	67.3	48.5	100
205.268391	120	77.6444	0	67.3	48.5	100
206.338866	120	77.6282	0	67.3	48.5	100
207.408763	120	77.6117	0	67.3	48.5	100
208.488991	120	77.6006	0	67.3	48.5	100
209.559713	120	77.5884	0	67.3	48.5	100
210.649719	120	77.5757	0	67.3	48.5	100
211.769758	120	77.5647	0	67.3	48.5	100
212.889802	120	77.5549	0	67.3	48.5	100
213.950802	120	77.5453	0	67.3	48.5	100
215.030808	120	77.5389	0	67.3	48.5	100
216.101383	120	77.5343	0	67.3	48.5	100
217.171297	120	77.531	0	67.3	48.5	100
218.251298	120	77.526	0	67.3	48.5	100
219.311512	120	77.5212	0	67.3	48.5	100
220.382225	120	77.517	0	67.3	48.5	100
221.46223	120	77.5109	0	67.3	48.5	100
222.53236	120	77.5045	0	67.3	48.5	100
223.602541	120	77.4983	0	67.3	48.5	100
224.732549	120	77.4927	0	67.3	48.5	100
225.792551	120	77.4881	0	67.3	48.5	100
226.862853	120	77.4829	0	67.3	48.5	100
227.93286	120	77.4782	0	67.3	48.5	100
228.992864	120	77.4732	0	67.3	48.5	100
230.063228	120	77.4684	0	67.3	48.5	100
231.133233	120	77.4643	0	67.3	48.5	100
232.23424	120	77.4607	0	67.3	48.5	100
233.364149	120	77.4574	0	77.4574	--	--
234.434155	120	77.4542	0	67.3	48.5	100
235.494159	120	77.4508	0	67.3	48.5	100
236.57456	120	77.4478	0	67.3	48.5	100
237.67498	120	77.4447	0	67.3	48.5	100
238.795716	120	77.4432	0	67.3	48.5	100
239.875312	120	77.4412	0	67.3	48.5	100
240.955856	120	77.4399	0	67.3	48.5	100
242.045865	120	77.4383	0	67.3	48.5	100
243.165354	120	77.437	0	67.3	48.5	100
244.236739	120	77.4365	0	67.3	48.5	100
245.326743	120	77.4356	0	67.3	48.5	100
246.39656	120	77.4347	0	67.3	48.5	100
247.477233	120	77.4342	0	67.3	48.5	100
248.557466	120	77.4332	0	67.3	48.5	100
249.647408	120	77.4322	0	67.3	48.5	100
250.756945	120	77.4312	0	67.3	48.5	100
251.847888	120	77.4302	0	67.3	48.5	100
252.967842	120	77.4288	0	67.3	48.5	100
254.038228	120	77.4266	0	67.3	48.5	100
255.098197	120	77.4247	0	67.3	48.5	100
256.178345	120	77.4239	0	67.3	48.5	100
257.258655	120	77.422	0	67.3	48.5	100
258.328596	120	77.4206	0	67.3	48.5	100
259.389506	120	77.4198	0	67.3	48.5	100
260.469775	120	77.4178	0	67.3	48.5	100
261.539434	120	77.4162	0	67.3	48.5	100
262.599592	120	77.4145	0	67.3	48.5	100
263.739614	120	77.414	0	67.3	48.5	100
264.830519	120	77.413	0	67.3	48.5	100
265.900842	120	77.4121	0	67.3	48.5	100
266.990904	120	77.4114	0	67.3	48.5	100
268.070308	120	77.411	0	67.3	48.5	100
269.140821	120	77.4107	0	67.3	48.5	100
270.211374	120	77.4104	0	67.3	48.5	100
271.291006	120	77.4103	0	67.3	48.5	100
272.37176	120	77.4098	0	67.3	48.5	100
273.44202	120	77.4096	0	67.3	48.5	100
274.512716	120	77.4099	0	67.3	48.5	100
275.592053	120	77.41	0	67.3	48.5	100
276.712801	120	77.4103	0	67.3	48.5	100
277.832444	120	77.4105	0	67.3	48.5	100
278.902595	120	77.4108	0	67.3	48.5	100
279.982691	120	77.4111	0	67.3	48.5	100
281.063441	120	77.4111	0	67.3	48.5	100
282.15391	120	77.4117	0	67.3	48.5	100
283.273614	120	77.413	0	67.3	48.5	100
284.343615	120	77.4137	0	67.3	48.5	100
285.41401	120	77.414	0	67.3	48.5	100
286.493953	120	77.4145	0	67.3	48.5	100
287.564958	120	77.4145	0	67.3	48.5	100
288.664622	77.4145	77.4145	77.4145	67.3	48.5	100
289.835395	120	77.4136	0	67.3	48.5	100
290.905401	120	77.4139	0	67.3	48.5	100
292.005131	120	77.4136	0	67.3	48.5	100
293.115322	120	77.4133	0	67.3	48.5	100
294.196078	120	77.4128	0	67.3	48.5	100
295.265824	120	77.4125	0	67.3	48.5	100
296.326445	120	77.4128	0	67.3	48.5	100
297.396167	120	77.4128	0	67.3	48.5	100
298.456913	120	77.4126	0	67.3	48.5	100
299.527152	120	77.4119	0	67.3	48.5	100
300.58674	120	77.4121	0	67.3	48.5	100
301.706873	120	77.4122	0	67.3	48.5	100
302.807915	120	77.4122	0	67.3	48.5	100
303.977232	120	77.4126	0	67.3	48.5	100
305.047939	120	77.4163	20	67.3	48.5	100
306.108215	120	77.4323	20	67.3	48.5	100
307.177959	120	77.4424	20	67.3	48.5	100
308.238849	120	77.4475	20	67.3	48.5	100
309.308336	120	77.4485	20	67.3	48.5	100
310.369245	120	77.4498	20	67.3	48.5	100
311.439212	120	77.4508	20	67.3	48.5	100
312.499215	120	77.4511	20	67.3	48.5	100
313.569069	120	77.4519	20	67.3	48.5	100
314.660074	120	77.4515	20	67.3	48.5	100
315.77008	120	77.4508	20	67.3	48.5	100
316.839806	120	77.4513	20	67.3	48.5	100
317.91052	120	77.4528	20	67.3	48.5	100
318.990525	120	77.4548	20	67.3	48.5	100
320.070979	120	77.4561	20	67.3	48.5	100
321.141368	120	77.4572	20	67.3	48.5	100
322.241369	120	77.4581	20	67.3	48.5	100
323.341341	120	77.4585	20	67.3	48.5	100
324.411269	120	77.4601	20	67.3	48.5	100
325.492276	120	77.4605	20	67.3	48.5	100
326.562352	120	77.4611	20	67.3	48.5	100
327.66211	120	77.4614	20	67.3	48.5	100
328.772115	120	77.4619	20	67.3	48.5	100
329.843122	120	77.463	20	67.3	48.5	100
330.903126	120	77.4649	20	67.3	48.5	100
332.00282	120	77.4653	20	67.3	48.5	100
333.132824	120	77.4653	20	67.3	48.5	100
334.203688	120	77.4659	20	67.3	48.5	100
335.28362	120	77.4677	20	67.3	48.5	100
336.363625	120	77.4685	20	67.3	48.5	100
337.444175	120	77.4689	20	67.3	48.5	100
338.514304	120	77.4686	20	67.3	48.5	100
339.59512	120	77.4684	20	67.3	48.5	100
340.744126	120	77.4686	20	67.3	48.5	100
341.855098	120	77.4677	20	67.3	48.5	100
342.975238	120	77.4685	20	67.3	48.5	100
344.055243	120	77.4695	20	67.3	48.5	100
345.135629	120	77.4692	20	67.3	48.5	100
346.195827	120	77.4695	20	67.3	48.5	100
347.276171	120	77.4689	20	67.3	48.5	100
348.346174	120	77.4686	20	67.3	48.5	100
349.406979	120	77.4692	20	67.3	48.5	100
350.486946	120	77.4708	20	67.3	48.5	100
351.567049	120	77.4715	20	67.3	48.5	100
352.667205	120	77.4717	20	67.3	48.5	100
353.787214	120	77.4725	20	67.3	48.5	100
354.867871	120	77.4715	20	67.3	48.5	100
355.948101	120	77.4704	20	67.3	48.5	100
357.017727	120	77.4695	20	67.3	48.5	100
358.097929	120	77.4695	20	67.3	48.5	100
359.178624	120	77.4703	20	67.3	48.5	100
360.24821	120	77.4704	20	67.3	48.5	100
361.308223	120	77.4703	20	67.3	48.5	100
362.388485	120	77.4703	20	67.3	48.5	100
363.469101	120	77.4703	20	67.3	48.5	100
364.53901	120	77.4699	20	67.3	48.5	100
365.619211	120	77.4703	20	67.3	48.5	100
366.759487	120	77.4701	20	67.3	48.5	100
367.849711	120	77.4695	20	67.3	48.5	100
368.919879	120	77.4705	20	67.3	48.5	100
370.000688	120	77.4707	20	67.3	48.5	100
371.080445	120	77.4712	20	67.3	48.5	100
372.181229	120	77.4732	20	67.3	48.5	100
373.300644	120	77.4734	20	67.3	48.5	100
374.360968	120	77.4732	20	67.3	48.5	100
375.440821	120	77.4736	20	67.3	48.5	100
376.51112	120	77.4714	20	67.3	48.5	100
377.592152	120	77.4701	20	67.3	48.5	100
378.711435	120	77.4696	20	67.3	48.5	100
379.822163	120	77.4703	20	67.3	48.5	100
380.902768	120	77.471	20	67.3	48.5	100
381.982528	120	77.4722	20	67.3	48.5	100
383.103304	120	77.4712	20	67.3	48.5	100
384.18296	120	77.4725	20	67.3	48.5	100
385.263283	120	77.471	20	67.3	48.5	100
386.323729	120	77.4703	20	67.3	48.5	100
387.393628	120	77.4701	20	67.3	48.5	100
388.473881	120	77.4708	20	67.3	48.5	100
389.544077	120	77.4711	20	67.3	48.5	100
390.634502	120	77.4719	20	67.3	48.5	100
391.754506	120	77.4717	20	67.3	48.5	100
392.864468	120	77.4717	20	67.3	48.5	100
393.93558	120	77.4729	20	67.3	48.5	100
394.994585	120	77.473	20	67.3	48.5	100
396.075715	120	77.4724	20	67.3	48.5	100
397.145933	120	77.4728	20	67.3	48.5	100
398.205939	120	77.4733	20	67.3	48.5	100
399.275983	120	77.4744	20	67.3	48.5	100
400.345789	120	77.4743	20	67.3	48.5	100
401.405993	120	77.473	20	67.3	48.5	100
402.486715	120	77.4722	20	67.3	48.5	100
403.566475	120	77.4725	20	67.3	48.5	100
404.666589	120	77.473	20	67.3	48.5	100
405.777376	120	77.473	20	67.3	48.5	100
406.857908	120	77.4735	40	67.3	48.5	100
407.9377	120	77.4891	40	67.3	48.5	100
409.008071	120	77.5285	40	67.3	48.5	100
410.097868	120	77.5594	40	67.3	48.5	100
411.178454	120	77.5819	40	67.3	48.5	100
412.27852	120	77.5952	40	67.3	48.5	100
413.368437	120	77.6015	40	67.3	48.5	100
414.438828	120	77.6013	40	67.3	48.5	100
415.509079	120	77.6091	40	67.3	48.5	100
416.589741	120	77.6209	40	67.3	48.5	100
417.719002	120	77.6299	40	67.3	48.5	100
418.839615	120	77.6301	40	67.3	48.5	100
419.909325	120	77.633	40	67.3	48.5	100
420.990192	120	77.6334	40	67.3	48.5	100
422.080197	120	77.6332	40	67.3	48.5	100
423.200916	120	77.6358	40	67.3	48.5	100
424.280977	120	77.6449	40	67.3	48.5	100
425.350982	120	77.6467	40	67.3	48.5	100
426.42176	120	77.6477	40	67.3	48.5	100
427.501633	120	77.6466	40	67.3	48.5	100
428.581639	120	77.643	40	67.3	48.5	100
429.691493	120	77.6415	40	67.3	48.5	100
430.801454	120	77.6398	40	67.3	48.5	100
431.902459	120	77.6393	40	67.3	48.5	100
433.022464	120	77.6392	40	67.3	48.5	100
434.102384	120	77.6437	40	67.3	48.5	100
435.183391	120	77.6456	40	67.3	48.5	100
436.25292	120	77.6428	40	67.3	48.5	100
437.313327	120	77.6389	40	67.3	48.5	100
438.403333	120	77.6402	40	67.3	48.5	100
439.473586	120	77.6442	40	67.3	48.5	100
440.553699	120	77.6461	40	67.3	48.5	100
441.64471	120	77.6445	40	67.3	48.5	100
442.754241	120	77.6424	40	67.3	48.5	100
443.814695	120	77.6406	40	67.3	48.5	100
444.8947	120	77.6391	40	67.3	48.5	100
445.97452	120	77.64	40	67.3	48.5	100
447.055518	120	77.6373	40	67.3	48.5	100
448.125732	120	77.6405	40	67.3	48.5	100
449.205705	120	77.6422	40	67.3	48.5	100
450.286183	120	77.6414	40	67.3	48.5	100
451.356306	120	77.6405	40	67.3	48.5	100
452.425938	120	77.6389	40	67.3	48.5	100
453.506164	120	77.6366	40	67.3	48.5	100
454.587012	120	77.6348	40	67.3	48.5	100
455.716917	120	77.6383	40	67.3	48.5	100
456.827379	120	77.6398	40	67.3	48.5	100
457.907865	120	77.6379	40	67.3	48.5	100
458.976869	120	77.6372	40	67.3	48.5	100
460.047873	120	77.6365	40	67.3	48.5	100
461.118463	120	77.6354	40	67.3	48.5	100
462.21813	120	77.6391	40	67.3	48.5	100
463.34852	120	77.6435	40	67.3	48.5	100
464.418507	120	77.645	40	67.3	48.5	100
465.498517	120	77.643	40	67.3	48.5	100
466.579521	120	77.6401	40	67.3	48.5	100
467.688803	120	77.6347	40	67.3	48.5	100
468.799807	120	77.6318	40	67.3	48.5	100
469.88928	120	77.6312	40	67.3	48.5	100
470.949566	120	77.6315	40	67.3	48.5	100
472.030091	120	77.6273	40	67.3	48.5	100
473.149927	120	77.6269	40	67.3	48.5	100
474.220047	120	77.6258	40	67.3	48.5	100
475.31052	120	77.628	40	67.3	48.5	100
476.391138	120	77.6308	40	67.3	48.5	100
477.461143	120	77.6285	40	67.3	48.5	100
478.541487	120	77.625	40	67.3	48.5	100
479.621752	120	77.6275	40	67.3	48.5	100
480.741758	120	77.6299	40	67.3	48.5	100
481.831954	120	77.6317	40	67.3	48.5	100
482.952489	120	77.6337	40	67.3	48.5	100
484.022493	120	77.6306	40	67.3	48.5	100
485.102037	120	77.6308	40	67.3	48.5	100
486.172981	120	77.6298	40	67.3	48.5	100
487.252908	120	77.6273	40	67.3	48.5	100
488.323157	120	77.6246	40	67.3	48.5	100
489.412884	120	77.6246	40	67.3	48.5	100
490.493887	120	77.6258	40	67.3	48.5	100
491.564098	120	77.6225	40	67.3	48.5	100
492.653675	120	77.6243	40	67.3	48.5	100
493.763678	120	77.6302	40	67.3	48.5	100
494.824381	120	77.6301	40	67.3	48.5	100
495.904231	120	77.6279	40	67.3	48.5	100
496.984207	120	77.6263	40	67.3	48.5	100
498.05496	120	77.6291	40	67.3	48.5	100
499.115428	120	77.6327	40	67.3	48.5	100
500.19543	120	77.636	40	67.3	48.5	100
501.276032	120	77.6314	40	67.3	48.5	100
502.345607	120	77.6265	40	67.3	48.5	100
503.405986	120	77.6339	40	67.3	48.5	100
504.486276	120	77.6396	40	67.3	48.5	100
505.557029	120	77.6428	40	67.3	48.5	100
506.646354	120	77.6426	40	67.3	48.5	100
507.756381	120	77.6442	40	67.3	48.5	100
508.827388	120	77.643	40	67.3	48.5	100
509.907444	120	77.6463	40	67.3	48.5	100
510.987789	120	77.6474	40	67.3	48.5	100
512.077793	120	77.6425	40	67.3	48.5	100
513.197485	120	77.6445	40	67.3	48.5	100
514.277904	120	77.6474	60	67.3	48.5	100
515.357911	120	77.6733	60	67.3	48.5	100
516.418256	120	77.7318	60	67.3	48.5	100
517.49858	120	77.7804	60	67.3	48.5	100
518.578581	120	77.8215	60	67.3	48.5	100
519.689321	120	77.8475	60	67.3	48.5	100
520.799925	120	77.8646	60	67.3	48.5	100
521.898974	120	77.8873	60	67.3	48.5	100
523.019767	120	77.9247	60	67.3	48.5	100
524.100412	120	77.9501	60	67.3	48.5	100
525.180491	120	77.9774	60	67.3	48.5	100
526.260629	120	77.9928	60	67.3	48.5	100
527.330082	120	77.9957	60	67.3	48.5	100
528.410838	120	78.0138	60	67.3	48.5	100
529.490594	120	78.0801	60	67.3	48.5	100
530.561638	120	78.2085	60	67.3	48.5	100
531.661594	120	78.3547	60	67.3	48.5	100
532.771592	120	78.4494	60	67.3	48.5	100
533.851456	120	78.6076	60	67.3	48.5	100
534.922086	120	78.8512	60	67.3	48.5	100
536.002091	120	79.106	60	67.3	48.5	100
537.082429	120	79.354	60	67.3	48.5	100
538.162718	120	79.5797	60	67.3	48.5	100
539.232722	120	79.8427	60	67.3	48.5	100
540.312553	120	80.0713	60	67.3	48.5	100
541.39277	120	80.3007	60	67.3	48.5	100
542.46307	120	80.4969	60	67.3	48.5	100
543.534074	120	80.7356	60	67.3	48.5	100
544.634355	120	80.9109	60	67.3	48.5	100
545.76433	120	81.1676	60	67.3	48.5	100
546.834337	120	81.2796	60	67.3	48.5	100
547.914296	120	81.5137	60	67.3	48.5	100
548.984967	120	81.8032	60	67.3	48.5	100
550.054971	120	82.0198	60	67.3	48.5	100
551.124835	120	82.3032	60	67.3	48.5	100
552.225408	120	82.5099	60	67.3	48.5	100
553.365409	120	82.8087	60	67.3	48.5	100
554.425504	120	83.3923	60	67.3	48.5	100
555.506226	120	83.5373	60	67.3	48.5	100
556.586134	120	83.9154	60	67.3	48.5	100
557.715964	120	84.2758	60	67.3	48.5	100
558.806981	120	84.488	60	67.3	48.5	100
559.886985	120	84.6386	60	67.3	48.5	100
560.956988	120	84.9355	84.9355	67.3	48.5	100
562.067667	120	85.2271	60	67.3	48.5	100
563.197256	120	85.5112	60	67.3	48.5	100
564.257644	120	85.6169	60	67.3	48.5	100
565.32803	120	85.7976	60	67.3	48.5	100
566.388033	120	86.0035	60	67.3	48.5	100
567.4589	120	86.5335	60	67.3	48.5	100
568.518777	120	86.7647	60	67.3	48.5	100
569.589233	120	86.9496	60	67.3	48.5	100
570.698697	120	87.266	60	67.3	48.5	100
571.818917	120	87.3741	60	67.3	48.5	100
572.92946	120	87.675	60	67.3	48.5	100
574.009232	120	87.941	60	67.3	48.5	100
575.100028	120	88.2216	60	67.3	48.5	100
576.179765	120	88.428	60	67.3	48.5	100
577.25036	120	88.7398	60	67.3	48.5	100
578.320759	120	88.9384	60	67.3	48.5	100
579.401142	120	88.9366	60	67.3	48.5	100
580.480754	120	89.2456	60	67.3	48.5	100
581.550803	120	89.5727	60	67.3	48.5	100
582.631451	120	89.6879	60	67.3	48.5	100
583.761066	120	89.8642	60	67.3	48.5	100
584.831742	120	90.213	60	67.3	48.5	100
585.91198	120	90.2671	60	67.3	48.5	100
587.001673	120	90.4827	60	67.3	48.5	100
588.082049	120	90.8141	60	67.3	48.5	100
589.152808	120	90.9795	60	67.3	48.5	100
590.222816	120	91.1584	60	67.3	48.5	100
591.302941	120	91.2392	60	67.3	48.5	100
592.383454	120	91.5466	60	67.3	48.5	100
593.453456	120	91.8522	60	67.3	48.5	100
594.513296	120	92.0127	60	67.3	48.5	100
595.593266	120	92.1732	60	67.3	48.5	100
596.724263	120	92.3429	60	67.3	48.5	100
597.814431	120	92.4251	60	67.3	48.5	100
598.894876	120	92.6396	60	67.3	48.5	100
599.964799	120	92.852	60	67.3	48.5	100
601.025051	120	93.2025	60	67.3	48.5	100
602.124956	120	93.4068	60	67.3	48.5	100
603.255342	120	93.5429	60	67.3	48.5	100
604.325561	120	93.8	60	67.3	48.5	100
605.405493	120	94.1315	60	67.3	48.5	100
606.486131	120	94.1613	60	67.3	48.5	100
607.566441	120	94.2424	60	67.3	48.5	100
608.675858	120	94.4242	60	67.3	48.5	100
609.796559	120	94.6422	60	67.3	48.5	100
610.876312	120	94.8996	60	67.3	48.5	100
611.977329	120	95.1221	60	67.3	48.5	100
613.09738	120	95.3918	60	67.3	48.5	100
614.177171	120	95.577	60	67.3	48.5	100
615.257844	120	95.6778	60	67.3	48.5	100
616.337802	120	95.7246	60	67.3	48.5	100
617.417902	120	95.9841	60	67.3	48.5	100
618.498292	120	96.1815	60	67.3	48.5	100
619.56796	120	96.3697	60	67.3	48.5	100
620.668636	120	96.5412	60	67.3	48.5	100
621.798953	120	96.7956	60	67.3	48.5	100
622.909078	120	96.9098	60	67.3	48.5	100
623.989125	120	96.9128	60	67.3	48.5	100
625.069182	120	97.1586	60	67.3	48.5	100
626.139452	120	97.4533	60	67.3	48.5	100
627.220136	120	97.6558	60	67.3	48.5	100
628.300139	120	97.8303	60	67.3	48.5	100
629.370271	120	98.0209	60	67.3	48.5	100
630.440864	120	98.1715	60	67.3	48.5	100
631.520873	120	98.2713	60	67.3	48.5	100
